category,title,url,why_good,smm_idea,brandbook_idea,visual_idea,ux_idea,adaptation_for_dimkoff,usefulness_score
"brandbook","Spotify Design & Branding Guidelines","https://developer.spotify.com/documentation/design","Flexible identity tied to product culture","Build reusable campaign templates","Show applications not only rules","Bold accent color and modular imagery","Scannable asset system","Use flexible social templates without copying duotone",9
"brandbook","Uber Brand","https://brand.uber.com/","Disciplined foundations for a global brand","Keep channel expression consistent","Define a neutral core and applications","Black and white base","Clear specimen navigation","Adopt rigor but add a warmer human layer",8
"brandbook","Slack Brand Center","https://slack.com/media-kit","Friendly assets with practical access","Make social assets easy to reuse","Create a compact asset hub","Controlled multi-color accents","Low-friction downloads","Use concise asset pages not the playful palette",8
"brandbook","Mailchimp Brand Assets","https://mailchimp.com/about/brand-assets/","Distinctive character explained with concrete rules","Develop a recognizable editorial voice","Add short do and do-not examples","Hero color with strong typography","Plain-language guidance","Adopt confident voice without a mascot",9
"brandbook","Dropbox Branding","https://www.dropbox.com/branding","Clear trademark and partnership scenarios","Set co-marketing rules","Document lockups and partner usage","Minimal asset previews","Scenario-based legal guidance","Use partnership rules in a small appendix",7
"brandbook","GitLab Pajamas Brand","https://design.gitlab.com/brand-introduction/","Brand and product system share one operational source","Connect content templates to UI tokens","Build living guidelines","Documentation-first visual system","Searchable examples","Use tokens and reusable templates at smaller scale",9
"brandbook","GitHub Brand Toolkit","https://brand.github.com/","Compact recognizable operational toolkit","Offer ready-to-use creator assets","Create a small external kit","High-contrast previews","Fast navigation and downloads","Use compact toolkit without a character mascot",9
"brandbook","Figma Brand Guidelines","https://www.figma.com/using-the-figma-brand/","Accessible rules for an external creator ecosystem","Clarify collaboration mentions","Define naming and co-brand use","Simple examples with recognisable mark","Context-based sections","Adapt co-marketing rules not rainbow styling",8
"brandbook","Discord Brand Guidelines","https://discord.com/branding","Visual identity directly reflects community product","Make community formats recognizable","Connect voice and visual character","Energetic illustrations","Clear asset access","Borrow community logic not gaming tone",8
"brandbook","Meta Brand Resources","https://about.meta.com/brand/resources/","Manages a portfolio of brands and contexts","Separate channel and product roles","Plan future sub-brand architecture","Neutral resource interface","Product-specific routes","Useful later for DimkoFF product architecture",7
"brandbook","IBM Design Language","https://www.ibm.com/design/language/","Philosophy expression and execution form one system","Connect communication to system thinking","Structure principles before assets","Grid type data and motion","Layered documentation","Primary model for system over decoration",10
"brandbook","Mozilla Protocol","https://protocol.mozilla.org/","Open code-ready brand guidance","Turn content rules into reusable patterns","Join brand and production","Accessible modular system","Examples and code patterns","Use living web guidelines at lean scope",9
"brandbook","Material Design 3","https://m3.material.io/","Robust foundations components and rationale","Define channel states and repeatability","Create tokens and behavior rules","Adaptive color type motion","Progressive disclosure","Use methodology without Android resemblance",9
"brandbook","Fluent 2","https://fluent2.microsoft.design/","Reusable foundations communicate product feeling","Set consistent content surface hierarchy","Document depth and states","Restrained layered surfaces","Platform-aware patterns","Use layering while avoiding office sterility",8
"brandbook","Adobe Spectrum","https://spectrum.adobe.com/","Scales across many professional products","Build reliable publishing states","Document professional UI states","Neutral precise components","Accessible state guidance","Reference for UI quality not enterprise volume",9
"brandbook","Atlassian Design System","https://atlassian.design/foundations","Content accessibility and visual foundations are integrated","Add voice and content standards","Document tokens and content together","Structured visual foundations","Searchable guideline IA","Adapt content rules and token logic",9
"brandbook","NASA Brand Center","https://www.nasa.gov/nasa-brand-center/","Iconic assets remain consistent across media","Protect recognizability in campaigns","Define lockup and clear space","Authoritative mark usage","Archive and asset access","Borrow discipline and avoid space clichés",8
"brandbook","Mastercard Brand Center","https://www.mastercard.com/brandcenter/us/en/home..html","Precise rules scale an iconic mark across payment contexts","Keep campaign marks consistent in digital use","Define mark variants and contrast rules","Strong red orange yellow identity","Scenario-based requirement navigation","Use digital mark discipline without payment-level complexity",9
"brandbook","OpenAI Design","https://openai.com/brand/","Balances intellectual restraint and human technology","Use mature non-hype AI language","Define imagery type and partnership contexts","Whitespace strong type subtle motion","Calm progressive reading","Adopt restraint without copying signature assets",9
"brandbook","GOV.UK Design System","https://design-system.service.gov.uk/","Trust comes from clarity and accessibility","Use plain language and clear errors","Make accessibility a brand rule","Functional high contrast","Robust predictable patterns","Apply clarity to forms and fallbacks with premium styling",8
"SMM/digital portfolio","Milk Karten — Rachel Karten","https://milkkarten.com/","One thesis and three easy-to-buy services","Package audit launch and custom work","Lead with a focused category","Editorial minimalism","Very short path to contact","Model service simplicity and add product proof",10
"SMM/digital portfolio","Matt Navarra","https://www.mattnavarra.com/","Strong category client proof testimonials and owned media","Build authority with recurring insights","Use a proof ladder","Early social proof","Deck capture and direct contact","Adapt proof structure using only real logos and metrics",9
"SMM/digital portfolio","Latasha James","https://www.latashajames.com/","Personal story and offers form a product ladder","Connect content education and services","Add a human founder layer","Warm editorial photography","Clear offer routes","Use human warmth with more tech-forward art direction",9
"SMM/digital portfolio","Pretty Little Marketer","https://www.prettylittlemarketer.com/","Community-first category and recognizable voice","Treat community as a content engine","Show an ecosystem of formats","Friendly social-native expression","Membership and resource routes","Borrow community thinking not playful styling",8
"SMM/digital portfolio","Mark Pollard","https://www.markpollard.net/","A memorable intellectual position drives the whole brand","Develop own strategic language","Build brand around a repeatable thesis","Personality-led typography","Direct paths to writing and work","Create Signal System Product IP without copying rhetoric",9
"SMM/digital portfolio","Ann Handley","https://annhandley.com/","The writing itself proves content expertise","Use newsletter and voice as evidence","Make personality part of authority","Human portrait and editorial copy","Strong newsletter conversion","Let content demonstrate method without becoming speaker-first",9
